Date,Reason,Split,Common,My amount,Total,MFA,Unnecessary,MERC,Paid by Harsh,Grocery,ASW
3/29/2025,Edeka,0,0,11.19,11.19,0,11.19,0,1,0,Harsh
3/29/2025,Rewe,0,5.07,0.99,6.06,0,0,0,1,1,Ritesh
3/29/2025,Kaufland,0.99,0,13.72,14.71,0,0.79,0,1,1,Ritesh
3/29/2025,Gifts,41.5,13.39,25,79.89,0,0,1,1,0,Harsh
3/29/2025,Rewe,20.23,14.34,0,39.42,0,0,1,1,0,Nikhil_Dipanshu
3/27/2025,Woolworth,0,0,3,3,0,0,1,1,0,Harsh
3/27/2025,Rewe,4.58,5.77,1.99,12.34,0,0,0,1,1,Ritesh
3/26/2025,Woolworth,0,0,11,11,0,0,1,1,0,Harsh
3/26/2025,O2,0,0,19.99,19.99,1,0,0,1,0,Harsh
3/25/2025,Rewe,0,0,1.99,1.99,0,0,0,1,1,Harsh
3/24/2025,Kaufland,0,12.74,4.31,17.05,0,0,0,0,1,Ritesh
3/24/2025,Rewe,0,4.28,6.08,10.36,0,0,0,0,1,Ritesh
3/22/2025,Rewe,1.99,7.74,4.86,14.59,0,2.37,0,1,1,Ritesh
3/21/2025,Woolworth,0,5,1.5,6.5,0,0,1,1,0,Agin
3/21/2025,Kaufland,0,0.99,5.58,6.57,0,3.79,0,1,1,Ritesh
3/20/2025,Kaufland,0,2.28,12.22,14.5,0,3,0,1,1,Ritesh
3/20/2025,Indian store,0,15.45,0,15.45,0,0,1,1,1,Ritesh
3/19/2025,Rewe,0,3.93,6.78,10.71,0,2.26,0,1,1,Ritesh
3/18/2025,Woolworth,4.5,0,1.5,6,0,0,1,1,0,Shaurrya
3/17/2025,Kaufland,0,10.26,4.12,14.38,0,0,0,1,1,Ritesh
3/17/2025,TK,0,0,139.11,139.11,1,0,0,1,0,Harsh
3/15/2025,Edeka,0,6.94,4.18,11.12,0,11.12,0,1,0,Shaurrya
3/14/2025,Rewe,3.99,15.99,0,19.98,0,0,0,0,0,Nikhil_Dhrov_yatin
3/14/2025,Kaufland,0,4.79,11.7,16.49,0,0,0,1,1,Shaurrya
3/13/2025,Edeka,0,0,11.82,11.82,0,11.82,0,1,0,Harsh
3/13/2025,Rewe,0,2.99,0.99,3.98,0,0,0,1,1,Shaurrya
3/12/2025,Coffee,0,0,2.4,2.4,0,2.4,0,1,0,Nikhil
3/12/2025,Kaufland,0,0,0.79,0.79,0,0.79,0,1,0,Harsh
3/11/2025,Lidl,6.61,0,11.37,16.21,0,0,0,1,1,Bhargav
3/10/2025,Rewe,0,0,11.53,11.53,0,0,0,1,1,Harsh
3/10/2025,Kaufland,4.53,26.49,11.8,42.82,0,3.58,0,1,1,Harsh
3/9/2025,Hit,0,0,2.53,2.53,0,2.53,0,1,0,Harsh
3/8/2025,Junk food,0,0,8,8,0,8,0,0,0,Shaurrya
3/7/2025,Rewe,0,0,6.24,6.24,0,0.69,0,1,1,Harsh
3/7/2025,Kaufland,0,0,1.97,1.97,0,1.97,0,1,0,Harsh
3/6/2025,Kaufland,0,0,5.14,5.14,0,5.14,0,1,0,Harsh
3/6/2025,Edeka,0,0,8,8,0,8,0,0,0,Shaurrya
3/5/2025,Junk food,0,0,8,8,0,8,0,1,0,Harsh
3/5/2025,Kaufland,0,0,6.05,6.05,0,1.38,0,1,1,Harsh
3/4/2025,Junk food,0,0,7.39,19.87,0,7.39,0,0,0,Shaurrya
3/4/2025,Junk food,0,0,7.5,7.5,0,7.5,0,1,0,Harsh
3/4/2025,Gym,0,0,15.9,15.9,1,0,0,1,0,Harsh
3/4/2025,Aldi,0,0,2.08,2.08,0,0,0,1,1,Harsh
3/4/2025,Kaufland,0,0,4.06,4.06,0,4.06,0,1,0,Harsh
3/4/2025,Coffee,0,0,1.2,1.2,0,1.2,0,1,0,Harsh
3/4/2025,Kaufland,0,0,4.4,4.4,0,4.4,0,1,0,Harsh
3/3/2025,Rent,0,0,466,466,1,0,0,1,0,Harsh
2/28/2025,D/C,0,0,13.67,13.67,0,13.67,0,1,0,Nikhil_Dipanshu
2/28/2025,Junk food,0,0,6.3,6.3,0,6.3,0,0,0,Nikhil_Dipanshu
2/28/2025,Junk food,0,0,7,7,0,7,0,0,0,Nikhil_Dipanshu
2/27/2025,Rewe,0,2.35,3.18,5.53,0,1.34,0,1,1,Shaurrya
2/26/2025,O2,0,0,19.99,19.99,1,0,0,1,0,Harsh
2/25/2025,Rewe,0,5.66,10.69,16.35,0,3.72,0,1,1,Shaurrya
2/25/2025,D/C,6,0,6,12,0,6,0,1,0,Bhargav
2/24/2025,D/C,5.55,0,5.55,11.1,0,5.55,0,1,0,Nikhil
2/22/2025,Woolworth,0,0,1.5,1.5,0,0,1,1,0,Harsh
2/22/2025,Rewe,0,0,3.57,3.57,0,0.99,0,1,1,Harsh
2/21/2025,Kaufland,1.54,1.24,2.98,5.76,0,1.54,0,1,1,Shaurrya
2/21/2025,Junk food,7.5,0,7.5,7.5,0,7.5,0,1,0,Shaurrya
2/18/2025,Indian store,1.9,8.47,0,10.37,0,0,1,1,1,Shaurrya
2/17/2025,Junk food,7,0,7,14,0,7,0,1,0,Shaurrya
2/17/2025,Kaufland,0,29.33,8.86,38.19,0,1.9,0,1,1,Shaurrya
2/17/2025,Kaufland,0.69,0,1.38,2.07,0,1.38,0,1,0,Shaurrya
2/17/2025,TK,0,0,139.11,139.11,1,0,0,1,0,Harsh
2/16/2025,Hit,0.79,0,4.12,4.91,0,4.12,0,1,0,Shaurrya
2/16/2025,Junk food,5.59,0,3.69,9.28,0,3.69,0,1,0,Shaurrya
2/13/2025,Kaufland,0,0,2.77,2.77,0,0.98,0,1,0,Harsh
2/12/2025,Kaufland,0,0,1.27,1.27,0,0,0,1,0,Harsh
2/11/2025,Woolworth,0,0,2,2,0,0,1,1,0,Harsh
2/11/2025,Lidl,0,9.99,2.49,12.48,0,2.49,0,1,1,Shaurrya
2/10/2025,Lidl,0,0,9.99,9.99,0,0,1,1,0,Harsh
2/9/2025,Hit,0.65,0,1.58,2.23,0,1.58,0,1,0,Dipanshu
2/9/2025,Junk food,0,0,3.5,3.5,0,3.5,0,0,0,Harsh
2/8/2025,Junk food,0,0,9,9,0,9,0,1,0,Harsh
2/8/2025,Edeka,6.85,0,7.18,14.03,0,7.18,0,0,0,Shaurrya
2/7/2025,Woolworth,0,2.5,1.5,4,0,0,1,1,0,Shaurrya
2/7/2025,Kaufland,5.55,36.41,7.33,49.29,0,20,0,0,1,Shaurrya
2/7/2025,Rewe,0,0.99,0,0.99,0,0,0,1,1,Shaurrya
2/6/2025,Kaufland,0.92,2.39,1.65,4.96,0,1.65,0,1,0,Nikhil_Dipanshu
2/3/2025,Rent,0,0,466,466,1,0,0,1,0,Harsh
2/3/2025,Junk food,0,0,1.2,1.2,0,1.2,0,1,0,Harsh
2/3/2025,Junk food,1,0,1,2,0,1,0,1,0,Dipanshu
2/2/2025,Gym,0,0,15.9,15.9,1,0,0,1,0,Harsh
2/1/2025,Junk food,8,0,8,16,0,8,0,1,0,Dipanshu
2/1/2025,Woolworth,0,0,14,14,0,0,1,1,0,Harsh
2/1/2025,Rewe,0,2.44,0.79,3.23,0,0.79,0,1,1,Shaurrya
2/1/2025,Kaufland,0,4.99,5.39,10.13,0,0,0,1,1,Harsh
2/1/2025,Clothes,0,0,19.99,19.99,0,0,1,1,0,Dipanshu
1/30/2025,Aldi,3.88,0,5.51,9.39,0,0,0,1,0,Nikhil
1/30/2025,Kaufland,1.97,3.99,11.79,17.75,0,11.79,0,1,1,Shaurrya
1/29/2025,Rewe,3.93,6.42,4.24,14.59,0,0,0,1,1,Shaurrya
1/28/2025,Rewe,0,2.69,2.37,5.06,0,0.89,0,1,1,Shaurrya
1/28/2025,Rewe,0,0,7.38,7.38,0,7.38,0,1,0,Nikhil_Dipanshu
1/28/2025,Junk food,7.5,0,7.5,15,0,7.5,0,1,0,Nikhil_Dipanshu
1/27/2025,Rewe,0,4.07,2,6.07,0,0,0,1,1,Shaurrya
1/27/2025,O2,0,0,19.99,19.99,1,0,0,1,0,Harsh
1/24/2025,Rewe,0,2.28,1.88,4.16,0,0,0,1,1,Shaurrya
1/23/2025,Kaufland,0,0,3.87,3.87,0,3.87,0,1,0,Harsh
1/22/2025,Kaufland,0,0,3.17,14.52,0,1.38,0,0,0,Nikhil
1/21/2025,Rewe,0,5.02,7.89,12.91,0,0,0,1,1,Shaurrya
1/21/2025,Rewe,0,0,1.89,1.89,0,0,0,1,1,Harsh
1/20/2025,Kaufland,0,8.97,0.6,9.59,0,0,0,1,1,Shaurrya
1/20/2025,Clothes,0,0,49.99,49.99,0,0,1,1,0,Harsh
1/20/2025,Haircut,0,0,18,18,1,0,0,1,0,Harsh
1/19/2025,D/C,2.8,13,0,15.8,0,4.33,0,1,0,Nikhil_Dipanshu
1/19/2025,Hit,0,0,8.16,8.16,0,8.16,0,1,0,Nikhil_Dipanshu
1/19/2025,Hit,6.81,0,1.76,10.51,0,1.79,0,1,0,Nikhil_Dipanshu
1/18/2025,Clothes,0,0,31.98,31.98,0,0,1,1,0,Harsh
1/18/2025,Kaufland,2.58,2.09,3.71,8.38,0,3.71,0,1,1,Shaurrya
1/17/2025,Kaufland,2.17,4.83,1.38,8.38,0,1.38,0,1,1,Shaurrya
1/17/2025,Kaufland,0,11.04,7.99,19.03,0,0,1,1,1,Shaurrya
1/16/2025,Kaufland,2.37,0,1.38,3.18,0,1.38,0,0,0,Shaurrya
1/16/2025,Kaufland,4.17,3.93,0,8.1,0,0,0,0,1,Shaurrya
1/15/2025,TK,0,0,380.13,380.13,0,0,1,1,0,Harsh
1/14/2025,Kaufland,0,0,0,9.15,0,3,0,1,1,Harsh
1/13/2025,Aldi,0,0,3.77,3.77,0,0,0,1,1,Harsh
1/13/2025,Woolworth,1.5,0,1.5,3,0,0,1,1,0,Shaurrya
1/9/2025,Rewe,0,7.71,1.09,8.8,0,0,0,1,1,Shaurrya
1/9/2025,Kaufland,0,11.54,1.61,13.15,0,0,0,0,1,Shaurrya
1/7/2025,Aldi,0,0,1.28,1.28,0,0,0,1,1,Harsh
1/7/2025,Kaufland,0,0,0,4.49,0,4.49,0,1,0,Harsh
1/6/2025,Junk food,0,0,1.2,1.2,0,1.2,0,1,0,Harsh
1/4/2025,Aldi,0,1.99,1.29,3.53,0,0,0,1,1,Shaurrya
1/4/2025,Kaufland,5.61,9.46,4.64,19.71,0,2.77,0,1,1,Shaurrya
1/3/2025,Rewe,0,1.29,1.68,2.97,0,0,0,1,1,Shaurrya
1/3/2025,Kaufland,4.78,16.02,3.3,24.1,0,1.54,0,1,1,Shaurrya
1/3/2025,Rent,0,0,466,466,1,0,0,1,0,Harsh
1/2/2025,Gym,0,0,15.9,15.9,1,0,0,1,0,Harsh
1/2/2025,Woolworth,0,0,3.5,3.5,0,0,1,1,0,Harsh
1/2/2025,Kaufland,0,0,3.09,3.09,0,0,0,1,1,Harsh
